Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
180,Jim Jackson,SG-SF,26,TOT,77,77,36.8,5.8,13.4,0.431,1.1,3.2,0.348,4.6,10.2,0.458,0.473,3.3,4,0.813,1.7,3.6,5.3,4.1,1.1,0.4,2.7,2.5,15.9,1996-97,FALSE
180,Jim Jackson,SG,26,DAL,46,46,36.4,5.7,12.8,0.442,1,3,0.331,4.7,9.8,0.477,0.481,3.2,4.1,0.787,1.8,3.2,4.9,3.4,1.2,0.3,2.3,2.5,15.5,1996-97,FALSE
180,Jim Jackson,SF,26,NJN,31,31,37.3,5.9,14.2,0.417,1.3,3.5,0.37,4.6,10.7,0.432,0.463,3.4,3.9,0.852,1.6,4.3,5.9,5.2,0.9,0.5,3.3,2.6,16.5,1996-97,FALSE
181,Mark Jackson,PG,31,TOT,82,82,37.2,3.5,8.3,0.426,0.8,2.2,0.371,2.7,6.1,0.445,0.474,2,2.6,0.789,1.1,3.7,4.8,11.4,1.2,0.1,3.3,2,9.9,1996-97,FALSE
181,Mark Jackson,PG,31,DEN,52,52,38.5,3.7,8.7,0.425,0.9,2.3,0.397,2.8,6.4,0.435,0.478,2.1,2.6,0.801,1.4,3.8,5.2,12.3,1,0.2,3.3,2,10.4,1996-97,FALSE
181,Mark Jackson,PG,31,IND,30,30,35.1,3.2,7.6,0.427,0.6,1.9,0.316,2.6,5.7,0.465,0.467,2,2.6,0.766,0.7,3.5,4.1,9.8,1.5,0.1,3.4,1.9,9,1996-97,FALSE
182,Henry James,PF,31,ATL,53,15,17.8,2.4,5.8,0.408,1.4,3.4,0.42,0.9,2.4,0.392,0.533,0.6,0.7,0.833,0.5,1,1.5,0.4,0.2,0,0.5,1.8,6.7,1996-97,FALSE
183,Chris Jent,SF,27,NYK,3,0,3.3,0.7,2,0.333,0.7,1,0.667,0,1,0,0.5,0,0,,0.3,0,0.3,0.3,0,0,0,0.7,2,1996-97,FALSE
184,Avery Johnson,PG,31,SAS,76,76,32.5,4.3,9,0.477,0.1,0.3,0.231,4.2,8.7,0.487,0.482,1.8,2.7,0.69,0.4,1.5,1.9,6.8,1.3,0.2,1.9,2.1,10.5,1996-97,FALSE
185,Eddie Johnson,SF,37,TOT,52,2,17.6,3.1,7,0.442,0.9,2.5,0.374,2.1,4.4,0.481,0.51,1.1,1.3,0.809,0.5,2.1,2.7,1,0.3,0,0.9,1.6,8.2,1996-97,FALSE
185,Eddie Johnson,SF,37,IND,28,0,10.9,2.1,4.9,0.434,0.3,1,0.321,1.8,3.9,0.463,0.467,0.7,1,0.741,0.1,1.3,1.4,0.6,0.2,0,0.6,1.2,5.3,1996-97,FALSE
